"","X","X.1","X.2","X.3","X.4","X.5","X","Strong","Weak","X.7","X.8","X.9","X.10","X.11","X.12","X.3","Strong.1","Weak.1"
"59","CP_Z3DC_CB","0","0","0","0,0384615385","0","CP_Z3DC_CB","0","0",NA,"CP_Z3DC_CB","0","0","0","0","CP_Z3DC_CB","0","0"
"60","CP_Z3DC_MIN","0,0416666667","0","0,0169491525","0","0","CP_Z3DC_MIN","0,0357142857","0",NA,"CP_Z3DC_MIN","0","0","0","0,25","CP_Z3DC_MIN","0","0,027027027"
"61","CP_ZLOCAL_CB","0","0","0","0","0","CP_ZLOCAL_CB","0","0",NA,"CP_ZLOCAL_CB","0","0","0","0","CP_ZLOCAL_CB","0","0"
"62","CP_ZLOCAL_MIN","0","0","0,0508474576","0","0","CP_ZLOCAL_MIN","0,0357142857","0,0327868852",NA,"CP_ZLOCAL_MIN","0","0","0","0","CP_ZLOCAL_MIN","0","0"
"63","CP_ZPAIR_CB","0","0,0178571429","0","0","0","CP_ZPAIR_CB","0,0357142857","0",NA,"CP_ZPAIR_CB","0","0","0","0,25","CP_ZPAIR_CB","0","0"
"64","CP_ZPAIR_MIN","0","0","0","0","0","CP_ZPAIR_MIN","0","0",NA,"CP_ZPAIR_MIN","0","0","0","0","CP_ZPAIR_MIN","0","0"
"65","CP_ZS3DC_CB","0","0,0178571429","0","0","0","CP_ZS3DC_CB","0","0",NA,"CP_ZS3DC_CB","0","0","0","0","CP_ZS3DC_CB","0","0"
"66","CP_ZS3DC_MIN","0,25","0,125","0,0847457627","0,0384615385","0","CP_ZS3DC_MIN","0,25","0,0819672131",NA,"CP_ZS3DC_MIN","0,1428571429","0,05","0,1578947368","0","CP_ZS3DC_MIN","0,4444444444","0,027027027"
"67","DESOLV","0,125","0,1428571429","0,0508474576","0,0384615385","0","DESOLV","0,0357142857","0,1147540984",NA,"DESOLV","0","0","0","0","DESOLV","0","0,0540540541"
"68","ELE","0,1666666667","0,0535714286","0,0508474576","0","0","ELE","0,0714285714","0,0983606557",NA,"ELE","0","0,05","0","0","ELE","0","0,027027027"
"69","ODA","0,25","0,125","0,1186440678","0,1153846154","0","ODA","0,25","0,0983606557",NA,"ODA","0","0","0","0","ODA","0","0,0540540541"
"70","PROPNSTS","0,3333333333","0,1428571429","0,1355932203","0,1153846154","0,0909090909","PROPNSTS","0,1785714286","0,2131147541",NA,"PROPNSTS","0","0","0,0526315789","0","PROPNSTS","0,1111111111","0,1081081081"
"71","PYDOCK_TOT","0,4166666667","0,25","0,1016949153","0,0384615385","0","PYDOCK_TOT","0,3214285714","0,1967213115",NA,"PYDOCK_TOT","0,1428571429","0,4","0,1578947368","0","PYDOCK_TOT","0,2222222222","0,1351351351"
"72","SIPPER","0,3333333333","0,1785714286","0,1694915254","0,0769230769","0","SIPPER","0,2857142857","0,1967213115",NA,"SIPPER","0","0","0,0526315789","0","SIPPER","0,1111111111","0,1351351351"
"73","VDW","0,0416666667","0,0357142857","0,0508474576","0","0","VDW","0","0,0163934426",NA,"VDW","0","0","0","0","VDW","0","0"
