"","X","X.1","X.2","X.3","X.4","X.5","X","Strong","Weak","X.7","X.8","X.9","X.10","X.11","X.12","X.3","Strong.1","Weak.1"
"48","CP_SJKG","0","0,1964285714","0,1525423729","0,1538461538","0,0909090909","CP_SJKG","0,1428571429","0,131147541",NA,"CP_SJKG","0,2857142857","0,25","0,1052631579","0","CP_SJKG","0,4444444444","0,1351351351"
"49","CP_SKOa","0,125","0,1964285714","0,1355932203","0,1153846154","0,0909090909","CP_SKOa","0,1785714286","0,1639344262",NA,"CP_SKOa","0,2857142857","0,25","0,1052631579","0,25","CP_SKOa","0,4444444444","0,1891891892"
"50","CP_SKOb","0,0833333333","0,2321428571","0,186440678","0,1538461538","0,0909090909","CP_SKOb","0,25","0,1475409836",NA,"CP_SKOb","0,4285714286","0,25","0,0526315789","0,25","CP_SKOb","0,4444444444","0,1621621622"
"51","CP_SKOIP","0,3333333333","0,2678571429","0,2542372881","0,1538461538","0,0909090909","CP_SKOIP","0,3214285714","0,1967213115",NA,"CP_SKOIP","0","0,25","0,1052631579","0,25","CP_SKOIP","0,1111111111","0,1621621622"
"52","CP_TB","0,4166666667","0,3214285714","0,1694915254","0,0769230769","0,0909090909","CP_TB","0,5","0,1967213115",NA,"CP_TB","0,5714285714","0,45","0,1052631579","0","CP_TB","0,5555555556","0,1891891892"
"53","CP_TD","0,4583333333","0,2321428571","0,2203389831","0,1538461538","0","CP_TD","0,4285714286","0,1803278689",NA,"CP_TD","0","0,3","0,1052631579","0","CP_TD","0","0,1081081081"
"54","CP_TEl","0,3333333333","0,2142857143","0,1525423729","0,1538461538","0,0909090909","CP_TEl","0,2857142857","0,1639344262",NA,"CP_TEl","0,4285714286","0,05","0,1578947368","0,25","CP_TEl","0,2222222222","0,1351351351"
"55","CP_TEs","0,125","0,1607142857","0,1525423729","0,0769230769","0,0909090909","CP_TEs","0,2142857143","0,0819672131",NA,"CP_TEs","0,2857142857","0,25","0","0,25","CP_TEs","0,2222222222","0,1351351351"
"56","CP_TS","0,4166666667","0,2857142857","0,2881355932","0,0769230769","0","CP_TS","0,3571428571","0,2295081967",NA,"CP_TS","0,1428571429","0,2","0,1578947368","0,25","CP_TS","0,1111111111","0,1081081081"
"57","CP_TSC","0,4166666667","0,3392857143","0,2711864407","0,1153846154","0","CP_TSC","0,3928571429","0,2295081967",NA,"CP_TSC","0,2857142857","0,35","0,1578947368","0","CP_TSC","0,3333333333","0,2432432432"
"58","CP_VD","0,375","0,1964285714","0,1016949153","0,0769230769","0","CP_VD","0,25","0,0983606557",NA,"CP_VD","0,4285714286","0,25","0,1052631579","0,25","CP_VD","0,3333333333","0,1351351351"
