/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_BM5_METHOD_MIX_part2 

pdb.list.BM5 samples = 55
FD_CP_RMFCA_CP_BFKV_ZD_CP_HLPL_CP_DECK_SD_AP_dDFIRE_AP_PISA 0.0545454545455 0.218181818182 0.454545454545 
FD_CP_RMFCA_CP_TSC_ZD_CP_Qp_CP_TB_SD_AP_MPS_AP_T1 0.0545454545455 0.218181818182 0.454545454545 
FD_PROPNSTS_AP_GOAP_DF_ZD_CP_DECK_AP_DCOMPLEX_SD_CP_Qp_AP_T2 0.0181818181818 0.127272727273 0.381818181818 
FD_CP_BFKV_CP_TSC_ZD_CP_Qp_CP_HLPL_SD_AP_calRWp_CP_BFKV 0.0545454545455 0.2 0.381818181818 
FD_PROPNSTS_CP_BFKV_ZD_CP_Qp_CP_HLPL_SD_AP_MPS_AP_T2 0.0727272727273 0.2 0.418181818182 
FD_PYDOCK_TOT_CP_TSC_ZD_AP_DCOMPLEX_AP_T1_SD_CP_TB_AP_T1 0.0545454545455 0.272727272727 0.509090909091 
FD_PROPNSTS_AP_GOAP_DF_ZD_CP_Qp_AP_DCOMPLEX_SD_CP_Qp_AP_MPS 0.0727272727273 0.163636363636 0.454545454545 
FD_PROPNSTS_CP_BFKV_ZD_AP_PISA_ELE_SD_CP_HLPL_CP_BFKV 0.0727272727273 0.290909090909 0.509090909091 
FD_CP_TB_CP_BFKV_ZD_CP_DECK_ZDOCK_SD_AP_calRWp_AP_T2 0.0363636363636 0.163636363636 0.418181818182 
FD_CP_RMFCA_CP_TSC_ZD_AP_T2_CP_TSC_SD_CP_HLPL_CP_TSC 0.0727272727273 0.218181818182 0.454545454545 
FD_PROPNSTS_CP_RMFCA_ZD_CP_HLPL_PYDOCK_TOT_SD_CP_HLPL_CP_TSC 0.0363636363636 0.236363636364 0.436363636364 
FD_CP_RMFCA_AP_GOAP_DF_ZD_CP_Qp_ELE_SD_CP_TS_CP_TSC 0.0 0.218181818182 0.472727272727 
FD_CP_RMFCA_CP_TB_ZD_PYDOCK_TOT_CP_TSC_SD_AP_PISA_CP_BFKV 0.0363636363636 0.218181818182 0.454545454545 
FD_CP_BFKV_CP_TSC_ZD_CP_DECK_CP_BT_SD_AP_T2_CP_BFKV 0.0363636363636 0.2 0.490909090909 
FD_AP_GOAP_DF_CP_TSC_ZD_AP_T1_ELE_SD_CP_TS_CP_BFKV 0.0545454545455 0.236363636364 0.527272727273 
FD_PYDOCK_TOT_CP_TSC_ZD_AP_PISA_ZDOCK_SD_AP_T2_AP_T1 0.0545454545455 0.236363636364 0.472727272727 
FD_CP_RMFCA_CP_TSC_ZD_CP_BT_ZDOCK_SD_SDOCK_CP_TS 0.0727272727273 0.272727272727 0.509090909091 
FD_CP_TB_CP_BFKV_ZD_AP_T2_CP_TSC_SD_AP_dDFIRE_CP_BFKV 0.0363636363636 0.2 0.509090909091 
FD_CP_RMFCA_CP_BFKV_ZD_CP_Qp_PYDOCK_TOT_SD_CP_Qp_CP_HLPL 0.0363636363636 0.218181818182 0.527272727273 
