Pydock,Zdock,Sdock,union,symetric,differnce
combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_AP_MPS,25,15,
combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_AP_MPS,25,15,
combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_AP_MPS,25,15,
combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_CP_TB,25,15,
combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_CP_TB,25,15,
combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_CP_TB,25,15,
combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_PYDOCK_TOT_AP_MPS,25,15,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T1,combo_SDOCK_AP_MPS,25,15,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T1,combo_PYDOCK_TOT_AP_MPS,25,15,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_PYDOCK_TOT,combo_SDOCK_AP_MPS,25,15,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T2,combo_SDOCK_AP_MPS,25,15,
combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_PYDOCK_TOT,combo_PYDOCK_TOT_AP_MPS,25,14,
combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_AP_MPS,25,14,
combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_AP_MPS,25,14,
combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_AP_MPS,25,14,
combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_SDOCK_AP_MPS,25,14,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T1,combo_AP_MPS_CP_RMFCEN1,25,14,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_PYDOCK_TOT,combo_AP_MPS_CP_RMFCEN1,25,14,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T2,combo_AP_MPS_CP_RMFCEN1,25,14,
combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_AP_MPS,25,13,
combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_AP_MPS,25,13,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_AP_MPS,25,13,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_AP_MPS,25,13,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_PISA,combo_AP_MPS_CP_RMFCEN1,25,13,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T2,combo_PYDOCK_TOT_AP_MPS,25,13,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_AP_MPS,25,12,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_AP_MPS,25,11,
combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_AP_MPS,24,17,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_CP_TB,24,17,
combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_AP_MPS,24,15,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_CP_TB,combo_AP_MPS_CP_RMFCEN1,24,15,
combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_CP_TB,23,16,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_AP_MPS,23,14,
