"","ftdock","zdock","sdock","coor_x","coor_y","coor_z","cases"
"51","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_CP_TB",2,0,0,23
"52","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_AP_MPS",2,0,1,23
"53","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T1","combo_AP_MPS_CP_RMFCEN1",2,0,2,23
"65","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_MPS",2,2,4,23
"90","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_MPS",3,2,4,23
"111","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_CP_TB",4,2,0,23
"112","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_AP_MPS",4,2,1,23
"113","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_AP_MPS_CP_RMFCEN1",4,2,2,23
"114","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_SDOCK_AP_MPS",4,2,3,23
"115","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_MPS",4,2,4,23
"6","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_CP_TB",0,1,0,24
"10","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_MPS",0,1,4,24
"13","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_AP_MPS_CP_RMFCEN1",0,2,2,24
"18","combo_CP_SJKG_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_AP_MPS_CP_RMFCEN1",0,3,2,24
"35","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_MPS",1,1,4,24
"38","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_AP_MPS_CP_RMFCEN1",1,2,2,24
"43","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_AP_MPS_CP_RMFCEN1",1,3,2,24
"60","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_MPS",2,1,4,24
"61","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_CP_TB",2,2,0,24
"62","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_AP_MPS",2,2,1,24
"63","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_PISA","combo_AP_MPS_CP_RMFCEN1",2,2,2,24
"66","combo_CP_SKOa_PYDOCK_TOT","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_CP_TB",2,3,0,24
"67","combo_CP_SKOa_PYDOCK_TOT","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_AP_MPS",2,3,1,24
